"pid","pcode","pname","ptitle","pshort","pbatch","pstatus","pdate","user","ptime","cname","pdegree","dept"
"1","11","Economics","B.A.-Honours","B.A.-Honours(ECO)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"2","21","General","B.Com.-Honours","B.Com.-Honours(General)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"3","22","Computer Applications-A","B.Com.-Honours","B.Com.-Honours(CA)-A","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"4","23","Computer Applications-B","B.Com.-Honours","B.Com.-Honours(CA)-B","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"5","24","Computer Applications-C","B.Com.-Honours","B.Com.-Honours(CA)-C","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"6","25","Tax Procedures and Practice","B.Com.-Honours","B.Com.-Honours(TPP)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"7","26","Finance","B.Com.-Honours","B.Com.-Honours(Finance)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"8","27","Business Process Management","B.Com.-Honours","B.Com.-Honours(BPM)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"9","28","Banking","B.Com.-Honours","B.Com.-Honours(Banking)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"10","31","A","B.B.A.-Honours","B.B.A.-Honours-A","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"11","32","B","B.B.A.-Honours","B.B.A.-Honours-B","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"12","33","Business Analytics","B.B.A.-Honours","B.B.A.-Honours(BA)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"13","41","A","B.C.A.-Honours","B.C.A.-Honours-A","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"14","42","B","B.C.A.-Honours","B.C.A.-Honours-B","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"15","51","Botany","B.Sc.-Honours","B.Sc.-Honours(BOT)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"16","52","Zoology","B.Sc.-Honours","B.Sc.-Honours(ZOO)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"17","61","Mathematics","B.Sc.-Honours","B.Sc.-Honours(MAT)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"18","62","Chemistry","B.Sc.-Honours","B.Sc.-Honours(CHE)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"19","63","Physics","B.Sc.-Honours","B.Sc.-Honours(PHY)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"20","64","Electronics","B.Sc.-Honours","B.Sc.-Honours(ELE)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"21","65","Statistics","B.Sc.-Honours","B.Sc.-Honours(STA)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"22","71","Computer Science-A","B.Sc.-Honours","B.Sc.-Honours(CSC)-A","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"23","72","Computer Science-B","B.Sc.-Honours","B.Sc.-Honours(CSC)-B","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"24","73","Computer Science-C","B.Sc.-Honours","B.Sc.-Honours(CSC)-C","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"25","74","Data Science","B.Sc.-Honours","B.Sc.-Honours(DS)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"26","75","Data Analytics","B.Sc.-Honours","B.Sc.-Honours(DA)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"27","76","Computer Science and Cognitive Systems","B.Sc.-Honours","B.Sc.-Honours(CSCS)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"28","77","Artificial Intelligence","B.Sc.-Honours","B.Sc.-Honours(AI)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
"29","53","Bio-Technology","B.Sc.-Honours","B.Sc.-Honours(BTH)","2024","Running","0000-00-00","User","0000-00-00 00:00:00",,,
